user_id,date,is_weekend,sleep_duration,study_work_duration,break_duration,exercise_duration,downtime_duration,stress_level,mood_score,focus_score,task_planned,task_completed,completion_ratio,fatigue_index,cumulative_fatigue,productivity_score,productivity_label
1,2024-02-20,0,7.64,5.68,4.533333333333335,19.0,5.83,3,8,8,7,5,0.714,40.39,44.39,75.81,2
1,2024-02-21,0,7.64,9.94,0.0,45.0,8.67,5,3,6,12,4,0.333,65.34,46.49,61.97,1
1,2024-02-22,0,7.59,8.17,0.0,36.0,8.61,3,6,5,10,10,1.0,52.12,47.05,58.92,1
1,2024-02-23,0,7.51,6.36,1.9866666666666646,41.0,7.46,3,3,5,8,6,0.75,45.93,46.94,54.67,0
1,2024-02-24,1,7.54,2.11,6.0,31.0,4.18,4,4,2,3,3,1.0,34.82,45.72,64.73,1
1,2024-02-25,1,7.47,0.91,6.0,33.0,3.54,3,6,8,3,3,1.0,26.04,43.76,72.39,2
1,2024-02-26,0,7.66,6.0,0.8100000000000023,30.0,9.03,3,3,4,7,7,1.0,49.51,44.33,73.16,2
1,2024-02-27,0,8.55,5.99,3.0766666666666644,26.0,5.95,4,4,8,7,7,1.0,46.25,44.52,75.14,2
1,2024-02-28,0,8.91,6.97,0.0,36.0,8.32,3,4,8,8,8,1.0,49.28,45.0,69.82,1
1,2024-02-29,0,7.83,9.18,0.0,32.0,7.15,5,7,4,11,1,0.091,59.96,46.5,59.08,1
1,2024-03-01,0,8.26,7.19,0.0,59.0,8.13,2,8,6,9,9,1.0,44.15,46.26,56.31,1
1,2024-03-02,1,9.29,1.71,5.316666666666666,38.0,7.05,2,6,9,3,3,1.0,31.81,44.82,62.23,1
1,2024-03-03,1,6.93,2.78,6.0,41.0,5.51,4,7,7,3,3,1.0,39.54,44.29,80.21,2
1,2024-03-04,0,7.4,8.21,0.0,18.0,9.4,6,5,4,10,6,0.6,69.31,46.79,71.8,2
1,2024-03-05,0,6.72,5.9,3.6566666666666663,26.0,7.29,6,3,2,7,7,1.0,59.68,48.08,63.11,1
1,2024-03-06,0,9.37,11.06,0.0,32.0,4.23,3,8,8,13,8,0.615,45.38,47.81,55.22,1
1,2024-03-07,0,7.74,6.6,4.736666666666665,14.0,4.69,7,4,6,8,7,0.875,58.93,48.92,63.92,1
1,2024-03-08,0,7.89,7.79,0.0,59.0,8.73,4,6,7,9,5,0.556,56.79,49.71,61.13,1
1,2024-03-09,1,9.36,2.42,6.0,41.0,3.19,3,4,6,3,3,1.0,27.71,47.51,68.91,1
1,2024-03-10,1,7.98,1.7,6.0,0.0,5.42,5,7,6,3,3,1.0,42.44,47.0,71.85,2
1,2024-03-11,0,6.98,7.93,0.0,6.0,9.44,5,5,6,10,3,0.3,63.93,48.69,66.47,1
1,2024-03-12,0,7.94,7.72,0.0,49.0,8.82,5,8,6,9,8,0.889,61.91,50.02,59.52,1
1,2024-03-13,0,7.94,11.16,0.9333333333333336,31.0,3.45,4,7,9,13,9,0.692,48.47,49.86,55.02,1
1,2024-03-14,0,6.8,6.32,2.099999999999998,21.0,8.43,6,6,2,8,7,0.875,63.45,51.22,60.61,1
1,2024-03-15,0,7.37,5.44,1.8399999999999999,15.0,9.1,4,7,6,7,7,1.0,53.73,51.47,62.64,1
1,2024-03-16,1,9.06,1.72,6.0,74.0,5.38,3,9,4,3,3,1.0,32.36,49.56,68.13,1
1,2024-03-17,1,8.11,0.98,6.0,21.0,3.94,3,7,6,3,3,1.0,27.23,47.33,77.28,2
1,2024-03-18,0,7.04,8.61,2.75,0.0,5.6,2,6,6,10,2,0.2,39.83,46.58,69.18,1
1,2024-03-19,0,6.66,8.1,1.3399999999999999,27.0,7.45,3,3,5,10,6,0.6,48.9,46.81,59.03,1
1,2024-03-20,0,6.75,10.9,0.0,43.0,6.97,3,8,4,13,8,0.615,52.44,47.37,48.1,0
1,2024-03-21,0,7.0,6.77,2.463333333333331,22.0,7.4,3,7,7,8,8,1.0,46.47,47.28,57.9,1
1,2024-03-22,0,9.715,10.2,0.0,19.0,4.96,3,6,7,12,6,0.5,45.86,47.14,58.21,1
1,2024-03-23,1,8.24,1.27,6.0,53.0,4.06,3,6,6,3,3,1.0,28.05,45.23,69.73,1
1,2024-03-24,1,8.09,1.8,6.0,56.0,6.88,3,5,5,3,0,0.0,36.51,44.36,60.65,1
1,2024-03-25,0,7.03,8.45,2.096666666666664,29.0,5.94,2,4,4,10,10,1.0,40.46,43.97,65.36,1
1,2024-03-26,0,6.06,7.7,2.086666666666666,38.0,7.52,3,4,6,9,7,0.778,48.4,44.41,58.18,1
1,2024-03-27,0,7.75,8.47,2.4233333333333356,34.0,4.79,2,7,6,10,10,1.0,37.42,43.71,67.35,1
1,2024-03-28,0,8.16,9.59,0.0,38.0,8.81,3,9,6,12,5,0.417,55.11,44.85,61.0,1
1,2024-03-29,0,7.0,7.7,0.9000000000000021,3.0,8.35,5,8,7,9,9,1.0,60.62,46.43,62.7,1
1,2024-03-30,1,8.08,2.39,6.0,28.0,2.95,2,6,6,3,3,1.0,22.01,43.99,65.71,1
1,2024-03-31,1,7.76,2.64,6.0,54.0,5.25,5,5,6,3,0,0.0,43.6,43.95,65.72,1
1,2024-04-01,0,8.31,8.6,0.0,54.0,9.45,6,5,5,10,1,0.1,70.11,46.56,53.97,0
1,2024-04-02,0,7.46,10.23,0.0,11.0,9.21,6,5,6,12,7,0.583,72.28,49.14,42.15,0
1,2024-04-03,0,8.83,10.23,0.0,42.0,7.58,2,7,5,12,7,0.583,47.92,49.01,43.61,0
1,2024-04-04,0,6.58,8.4,3.5666666666666664,11.0,5.27,2,7,2,10,10,1.0,38.58,47.97,54.75,0
1,2024-04-05,0,6.95,7.23,5.046666666666667,23.0,4.39,4,4,7,9,9,1.0,44.21,47.6,65.37,1
1,2024-04-06,1,6.94,0.72,6.0,23.0,4.33,3,7,5,3,3,1.0,27.83,45.62,74.41,2
1,2024-04-07,1,8.44,2.1,6.0,11.0,6.08,5,7,6,3,3,1.0,44.89,45.55,79.17,2
1,2024-04-08,0,7.18,9.29,0.0,11.0,7.83,4,5,5,11,7,0.636,56.97,46.69,68.89,1
1,2024-04-09,0,8.23,7.83,0.0,43.0,8.86,6,6,3,9,9,1.0,67.21,48.74,61.9,1
1,2024-04-10,0,6.65,5.52,4.203333333333333,31.0,7.11,5,5,5,7,7,1.0,53.54,49.22,59.33,1
1,2024-04-11,0,7.15,8.45,1.4966666666666661,11.0,6.72,2,8,5,10,7,0.7,42.55,48.55,62.18,1
1,2024-04-12,0,6.83,8.06,0.0,38.0,8.69,4,6,6,10,0,0.0,57.15,49.41,53.07,0
1,2024-04-13,1,9.25,1.1,6.0,59.0,4.25,4,5,6,3,3,1.0,33.27,47.8,56.99,1
1,2024-04-14,1,9.25,1.61,6.0,38.0,1.8500000000000005,1,7,6,3,3,1.0,12.73,44.29,66.53,1
1,2024-04-15,0,5.49,7.27,3.8566666666666656,26.0,6.95,2,5,7,9,4,0.444,41.13,43.98,75.48,2
1,2024-04-16,0,8.48,10.61,0.0,60.0,4.87,2,7,6,13,6,0.462,41.32,43.71,64.74,1
1,2024-04-17,0,7.95,11.13,0.0,41.0,5.65,4,7,7,13,10,0.769,54.3,44.77,56.59,1
1,2024-04-18,0,8.14,6.81,3.0066666666666677,11.0,5.86,6,7,4,8,4,0.5,57.42,46.03,54.03,0
1,2024-04-19,0,6.23,9.35,2.6366666666666667,11.0,5.6,4,5,5,11,2,0.182,51.1,46.54,50.05,0
1,2024-04-20,1,8.35,2.16,6.0,64.0,4.84,2,7,9,3,3,1.0,26.68,44.55,60.32,1
1,2024-04-21,1,7.95,1.15,6.0,17.0,6.3,4,5,4,3,3,1.0,38.84,43.98,68.77,1
1,2024-04-22,0,7.35,7.79,3.293333333333333,22.0,5.2,3,6,4,9,9,1.0,42.34,43.82,78.73,2
1,2024-04-23,0,8.04,8.53,1.0199999999999996,36.0,5.81,3,7,8,10,10,1.0,45.25,43.96,72.81,2
1,2024-04-24,0,7.95,8.53,0.0,41.0,7.86,4,3,5,10,4,0.4,55.74,45.14,61.82,1
1,2024-04-25,0,5.96,8.6,3.4833333333333343,46.0,5.19,3,6,5,10,5,0.5,43.71,45.0,57.23,1
1,2024-04-26,0,6.89,9.55,1.129999999999999,33.0,5.88,3,7,8,11,8,0.727,47.2,45.22,53.89,0
1,2024-04-27,1,8.75,1.61,6.0,54.0,6.15,5,6,7,3,3,1.0,44.23,45.12,68.01,1
1,2024-04-28,1,7.92,2.03,6.0,56.0,4.85,2,6,4,3,3,1.0,26.48,43.25,75.98,2
1,2024-04-29,0,7.35,5.85,5.366666666666671,35.0,4.85,5,6,6,7,2,0.286,48.06,43.74,72.75,2
1,2024-04-30,0,6.99,7.44,2.5666666666666664,47.0,6.22,5,6,5,9,9,1.0,54.47,44.81,67.79,1
1,2024-05-01,0,6.27,11.34,0.0,35.0,9.56,4,5,6,14,9,0.643,65.13,46.84,58.38,1
1,2024-05-02,0,9.11,6.84,1.9100000000000001,12.0,5.94,5,5,7,8,5,0.625,52.69,47.43,59.77,1
1,2024-05-03,0,7.29,9.58,0.0,13.0,7.22,6,8,7,11,10,0.909,65.83,49.27,57.33,1
1,2024-05-04,1,8.07,1.37,6.0,27.0,4.9,3,10,5,3,3,1.0,30.47,47.39,67.14,1
1,2024-05-05,1,9.2,2.4,6.0,22.0,4.11,2,8,8,3,3,1.0,25.14,45.16,76.98,2
1,2024-05-06,0,6.82,5.36,1.4633333333333347,40.0,9.69,7,5,7,6,6,1.0,70.17,47.66,78.94,2
1,2024-05-07,0,8.34,10.24,0.0,37.0,7.87,5,5,7,12,9,0.75,63.71,49.27,71.55,2
1,2024-05-08,0,7.78,5.5,1.1233333333333313,43.0,8.88,4,5,9,7,7,1.0,53.24,49.66,67.12,1
1,2024-05-09,0,7.11,7.54,1.1199999999999974,36.0,7.63,4,8,5,9,8,0.889,53.42,50.04,65.22,1
1,2024-05-10,0,6.68,6.48,1.7966666666666669,38.0,8.41,5,6,4,8,8,1.0,58.68,50.9,67.04,1
1,2024-05-11,1,7.07,1.23,6.0,11.0,3.12,4,6,4,3,3,1.0,30.47,48.86,67.2,1
1,2024-05-12,1,7.21,1.73,6.0,59.0,5.06,4,7,5,3,3,1.0,36.52,47.63,73.2,2
1,2024-05-13,0,8.56,8.72,1.9100000000000001,0.0,4.81,4,7,5,10,8,0.8,47.9,47.65,72.04,2
1,2024-05-14,0,6.23,8.36,1.629999999999999,27.0,7.33,5,7,6,10,4,0.4,59.03,48.79,62.7,1
1,2024-05-15,0,5.59,7.71,1.6666666666666679,20.0,8.7,4,6,4,9,9,1.0,56.57,49.57,56.66,1
1,2024-05-16,0,8.19,9.5,1.5166666666666693,17.0,4.51,6,4,3,11,6,0.545,58.44,50.46,51.47,0
1,2024-05-17,0,6.76,8.56,2.7866666666666653,17.0,5.61,2,6,6,10,10,1.0,39.77,49.39,59.86,1
1,2024-05-18,1,8.33,2.35,6.0,34.0,3.5,4,4,6,3,3,1.0,33.42,47.79,66.17,1
1,2024-05-19,1,7.32,2.56,6.0,50.0,2.92,5,7,8,3,3,1.0,37.23,46.73,80.05,2
1,2024-05-20,0,6.25,8.78,0.28333333333333144,52.0,7.82,4,6,4,11,4,0.364,56.06,47.67,69.22,1
1,2024-05-21,0,8.73,6.13,0.0,16.0,9.23,3,6,2,7,5,0.714,50.27,47.93,57.57,1
1,2024-05-22,0,9.39,8.31,0.0,27.0,8.29,5,6,5,10,10,1.0,61.51,49.29,49.66,0
1,2024-05-23,0,7.47,7.63,1.663333333333334,7.0,7.12,4,5,5,9,9,1.0,52.21,49.58,58.07,1
1,2024-05-24,0,7.67,11.59,0.0,24.0,8.19,5,4,6,14,6,0.429,66.89,51.31,57.18,1
1,2024-05-25,1,7.96,2.53,6.0,48.0,3.09,4,4,4,3,3,1.0,32.63,49.44,62.06,1
1,2024-05-26,1,7.8,1.88,6.0,41.0,5.65,3,9,7,3,3,1.0,33.36,47.83,68.82,1
1,2024-05-27,0,7.17,8.9,0.0,12.0,8.17,5,3,7,11,1,0.091,62.2,49.27,65.24,1
1,2024-05-28,0,7.37,5.8,2.2266666666666666,26.0,8.17,5,5,5,7,7,1.0,56.86,50.03,61.65,1
1,2024-05-29,0,8.1,8.31,1.6133333333333333,7.0,5.86,3,7,5,10,7,0.7,45.01,49.53,52.14,0
1,2024-05-30,0,8.14,8.31,2.3566666666666656,23.0,4.81,7,7,4,10,5,0.5,62.2,50.79,57.32,1
1,2024-05-31,0,7.09,4.86,3.996666666666666,17.0,7.77,2,5,9,6,6,1.0,39.17,49.63,62.22,1
1,2024-06-01,1,7.43,4.86,6.0,34.0,4.8,4,5,6,6,6,1.0,41.22,48.79,70.15,2
1,2024-06-02,1,7.43,2.78,6.0,39.0,5.08,5,6,7,3,3,1.0,43.39,48.25,81.62,2
1,2024-06-03,0,7.71,8.65,0.0,33.0,7.96,6,3,4,10,9,0.9,66.21,50.05,72.76,2
1,2024-06-04,0,8.15,5.44,1.2333333333333343,43.0,8.46,6,3,5,7,2,0.286,62.02,51.24,59.26,1
1,2024-06-05,0,8.15,5.83,0.8099999999999987,45.0,8.46,4,5,9,7,7,1.0,52.69,51.39,56.47,1
1,2024-06-06,0,6.78,5.83,3.693333333333335,43.0,6.98,4,4,5,7,5,0.714,48.73,51.12,58.84,1
1,2024-06-07,0,7.95,7.73,0.0,36.0,7.78,4,6,5,9,2,0.222,54.14,51.42,57.71,1
1,2024-06-08,1,7.73,2.44,6.0,28.0,2.04,5,3,6,3,2,0.667,34.67,49.75,55.73,1
1,2024-06-09,1,8.35,2.25,5.43,21.0,7.62,4,4,7,3,3,1.0,44.27,49.2,61.77,1
1,2024-06-10,0,7.69,7.16,2.1966666666666654,44.0,6.22,4,4,5,9,9,1.0,48.99,49.18,72.49,2
1,2024-06-11,0,6.01,8.7,2.3166666666666664,41.0,6.29,2,4,5,10,6,0.6,41.83,48.44,68.14,1
1,2024-06-12,0,7.36,8.43,0.6266666666666687,20.0,7.25,5,3,5,10,9,0.9,58.93,49.49,60.91,1
1,2024-06-13,0,7.38,8.79,2.616666666666667,8.0,5.08,4,5,7,11,11,1.0,48.75,49.42,62.13,1
1,2024-06-14,0,8.97,7.46,0.0,45.0,7.09,5,2,6,9,5,0.556,56.83,50.16,60.25,1
1,2024-06-15,1,8.64,1.94,6.0,57.0,3.04,4,7,5,3,3,1.0,31.48,48.29,68.04,1
1,2024-06-16,1,9.07,0.91,6.0,54.0,6.07,4,7,5,3,3,1.0,37.81,47.24,70.91,2
1,2024-06-17,0,7.08,7.4,2.200000000000003,39.0,6.67,4,7,10,9,4,0.444,50.61,47.58,74.74,2
1,2024-06-18,0,7.14,10.21,0.0,31.0,7.41,4,7,7,12,6,0.5,57.43,48.57,64.2,1
1,2024-06-19,0,6.5,7.79,2.22666666666667,5.0,7.4,4,8,7,9,6,0.667,53.23,49.03,57.09,1
1,2024-06-20,0,6.08,7.9,2.2666666666666657,32.0,7.22,4,8,7,9,9,1.0,52.94,49.42,60.91,1
1,2024-06-21,0,8.04,8.9,2.030000000000001,36.0,4.43,5,8,6,11,10,0.909,52.2,49.7,67.0,1
1,2024-06-22,1,9.25,1.81,6.0,39.0,1.8500000000000005,5,5,5,3,3,1.0,33.07,48.04,73.77,2
1,2024-06-23,1,9.14,2.08,6.0,32.0,2.56,2,10,6,3,3,1.0,20.44,45.28,77.94,2
1,2024-06-24,0,7.56,7.8,2.616666666666667,14.0,5.79,6,7,4,9,7,0.778,58.94,46.64,74.43,2
1,2024-06-25,0,7.56,7.1,4.616666666666667,23.0,4.34,6,5,7,9,9,1.0,53.85,47.36,73.59,2
1,2024-06-26,0,8.48,8.2,2.770000000000003,24.0,4.15,4,7,6,10,5,0.5,45.24,47.15,63.95,1
1,2024-06-27,0,6.15,7.62,3.1799999999999997,6.0,6.95,6,4,4,9,3,0.333,61.73,48.61,58.43,1
1,2024-06-28,0,8.23,8.82,0.0,23.0,7.68,3,8,5,11,3,0.273,50.76,48.82,45.62,0
1,2024-06-29,1,8.08,1.45,6.0,50.0,5.06,4,6,7,3,3,1.0,36.04,47.55,55.04,1
1,2024-06-30,1,7.14,1.95,6.0,50.0,7.22,4,5,5,3,3,1.0,42.68,47.06,67.43,1
1,2024-07-01,0,8.19,6.49,1.6566666666666663,26.0,7.23,4,5,5,8,1,0.125,50.54,47.41,66.69,1
1,2024-07-02,0,7.18,6.49,2.1833333333333336,19.0,7.83,5,5,7,8,8,1.0,57.14,48.38,62.03,1
1,2024-07-03,0,7.5,6.63,3.3100000000000023,27.0,6.11,5,5,7,8,5,0.625,52.78,48.82,56.47,1
1,2024-07-04,0,7.42,10.66,0.0,27.0,7.69,5,5,7,13,0,0.0,63.95,50.33,54.73,0
1,2024-07-05,0,7.55,8.12,2.0166666666666657,17.0,6.03,5,5,4,10,5,0.5,55.13,50.81,46.87,0
1,2024-07-06,1,7.98,1.9,5.869999999999997,48.0,7.45,5,7,5,3,3,1.0,48.21,50.55,52.47,0
1,2024-07-07,1,6.69,1.17,6.0,48.0,6.15,4,8,7,3,3,1.0,38.48,49.35,69.87,1
1,2024-07-08,0,8.19,7.17,0.5,39.0,7.49,5,6,7,9,8,0.889,57.4,50.15,75.85,2
1,2024-07-09,0,7.86,8.86,1.9600000000000009,33.0,4.77,4,5,8,11,8,0.727,48.04,49.94,71.56,2
1,2024-07-10,0,8.37,8.75,0.0,70.0,7.07,4,5,5,10,8,0.8,54.0,50.35,63.16,1
1,2024-07-11,0,8.38,9.7,0.0,1.0,9.08,4,8,8,12,7,0.583,61.02,51.41,59.54,1
1,2024-07-12,0,7.48,8.92,0.0,65.0,6.61,4,7,2,11,7,0.636,53.06,51.58,53.03,0
1,2024-07-13,1,8.01,2.29,6.0,56.0,5.16,4,7,6,3,3,1.0,37.76,50.2,61.13,1
1,2024-07-14,1,8.93,2.11,6.0,39.0,3.88,2,8,4,3,3,1.0,24.02,47.58,69.77,1
1,2024-07-15,0,8.93,9.26,0.2033333333333367,31.0,5.09,3,5,5,11,6,0.545,44.58,47.28,70.87,2
1,2024-07-16,0,6.72,6.87,2.549999999999997,36.0,7.26,3,7,5,8,5,0.625,46.27,47.18,62.26,1
1,2024-07-17,0,6.25,7.94,2.753333333333334,16.0,6.79,3,5,5,10,10,1.0,46.86,47.15,58.35,1
1,2024-07-18,0,4.84,8.89,2.9800000000000004,30.0,6.79,4,4,4,11,1,0.091,53.49,47.78,53.35,0
1,2024-07-19,0,6.08,6.8,4.390000000000001,60.0,5.73,3,8,5,8,8,1.0,42.06,47.21,59.78,1
1,2024-07-20,1,7.63,1.4,6.0,16.0,5.84,4,6,6,3,3,1.0,38.04,46.29,63.57,1
1,2024-07-21,1,7.19,2.69,6.0,49.0,4.29,5,7,6,3,3,1.0,41.12,45.77,79.23,2
1,2024-07-22,0,6.59,8.23,1.6866666666666674,41.0,6.81,6,7,5,10,7,0.7,62.41,47.44,72.4,2
1,2024-07-23,0,6.49,7.42,2.1999999999999993,21.0,7.54,6,5,7,9,9,1.0,62.97,48.99,69.1,1
1,2024-07-24,0,8.06,9.7,0.0,29.0,8.75,4,6,8,12,7,0.583,60.14,50.11,60.27,1
1,2024-07-25,0,7.34,7.98,1.6499999999999986,0.0,7.03,5,6,4,10,6,0.6,57.57,50.85,57.74,1
1,2024-07-26,0,7.02,9.86,0.0,6.0,10.56,5,6,8,12,6,0.5,70.26,52.79,50.81,0
1,2024-07-27,1,8.03,1.79,6.0,48.0,4.96,3,7,5,3,3,1.0,31.36,50.65,59.43,1
1,2024-07-28,1,9.38,1.87,6.0,22.0,6.0,5,6,7,3,3,1.0,44.28,50.01,70.91,2
1,2024-07-29,0,7.85,8.59,0.4066666666666663,14.0,6.92,5,7,8,10,8,0.8,58.33,50.84,75.46,2
1,2024-07-30,0,6.97,4.23,6.0,9.0,4.31,4,5,6,5,5,1.0,38.83,49.64,74.75,2
1,2024-07-31,0,7.15,5.82,4.733333333333331,55.0,5.38,3,6,6,7,4,0.571,39.43,48.62,68.73,1
1,2024-08-01,0,7.78,4.64,5.699999999999999,30.0,5.38,4,9,5,6,6,1.0,42.4,48.0,74.13,2
1,2024-08-02,0,8.36,6.53,3.9800000000000004,30.0,4.63,3,7,5,8,8,1.0,38.65,47.06,72.86,2
1,2024-08-03,1,8.65,1.71,6.0,24.0,7.0,3,6,7,3,0,0.0,36.68,46.03,67.73,1
1,2024-08-04,1,8.74,1.7,6.0,0.0,4.56,5,5,4,3,3,1.0,40.13,45.44,66.22,1
1,2024-08-05,0,8.95,9.59,0.0,31.0,9.46,3,7,8,12,5,0.417,56.85,46.58,58.21,1
1,2024-08-06,0,6.68,8.48,2.7799999999999976,3.0,6.01,6,6,5,10,8,0.8,60.7,47.99,61.63,1
1,2024-08-07,0,7.93,11.0,0.0,31.0,5.6,6,4,9,13,10,0.769,63.95,49.59,57.73,1
1,2024-08-08,0,7.57,4.99,3.4333333333333336,4.0,7.94,3,7,5,6,6,1.0,44.85,49.11,64.26,1
1,2024-08-09,0,5.81,10.48,0.0,43.0,7.36,6,8,7,13,4,0.308,67.76,50.98,58.57,1
1,2024-08-10,1,7.45,2.44,6.0,33.0,4.13,4,6,5,3,3,1.0,35.26,49.41,63.99,1
1,2024-08-11,1,6.7,1.6,6.0,6.0,5.51,5,3,4,3,3,1.0,42.5,48.71,64.59,1
1,2024-08-12,0,7.87,8.6,0.0,19.0,7.41,5,4,8,10,7,0.7,59.65,49.81,69.51,1
